cost,success,emotion,y
0.77,0.61,0.32,0
0.18,0.92,0.71,1
0.64,0.45,0.83,1
0.52,0.27,0.40,0
0.09,0.88,0.95,1
0.81,0.12,0.22,0
0.33,0.74,0.58,1
0.47,0.53,0.36,0
0.26,0.81,0.67,1
0.69,0.31,0.44,0
0.12,0.95,0.89,1
0.58,0.49,0.61,1
0.72,0.22,0.28,0
0.35,0.66,0.73,1
0.41,0.58,0.52,1
0.87,0.15,0.33,0
0.23,0.79,0.64,1
0.54,0.38,0.47,0
0.16,0.91,0.86,1
0.63,0.42,0.59,1
0.78,0.25,0.37,0
0.29,0.83,0.75,1
0.48,0.57,0.41,0
0.67,0.34,0.50,0
0.14,0.93,0.92,1
0.82,0.19,0.27,0
0.37,0.69,0.62,1
0.51,0.46,0.55,1
0.25,0.84,0.78,1
0.73,0.28,0.35,0
0.11,0.96,0.90,1
0.59,0.52,0.60,1
0.66,0.39,0.49,0
0.31,0.77,0.70,1
0.44,0.55,0.45,0
0.86,0.18,0.30,0
0.20,0.89,0.80,1
0.62,0.41,0.57,1
0.75,0.24,0.38,0
0.28,0.82,0.66,1
0.53,0.47,0.54,1
0.17,0.94,0.88,1
0.70,0.33,0.46,0
0.39,0.63,0.72,1
0.46,0.56,0.43,0
0.84,0.20,0.29,0
0.22,0.87,0.76,1
0.57,0.50,0.58,1
0.65,0.36,0.51,0
0.34,0.71,0.68,1
0.49,0.54,0.42,0
0.80,0.21,0.31,0
0.15,0.90,0.85,1
0.61,0.44,0.56,1
0.74,0.27,0.39,0
0.30,0.78,0.63,1
0.55,0.48,0.53,1
0.13,0.97,0.93,1
0.68,0.35,0.48,0
0.36,0.67,0.71,1
0.43,0.59,0.46,0
0.85,0.17,0.34,0
0.21,0.88,0.77,1
0.60,0.43,0.57,1
0.76,0.23,0.36,0
0.27,0.80,0.65,1
0.56,0.51,0.59,1
0.10,0.98,0.94,1
0.71,0.32,0.47,0
0.38,0.64,0.69,1
0.45,0.57,0.44,0
0.83,0.16,0.26,0
0.24,0.86,0.74,1
0.58,0.52,0.55,1
0.67,0.37,0.52,0
0.32,0.76,0.67,1
0.50,0.53,0.41,0
0.79,0.22,0.33,0
0.19,0.91,0.82,1
0.63,0.45,0.60,1
0.72,0.26,0.38,0
0.28,0.81,0.64,1
0.54,0.49,0.56,1
0.16,0.95,0.87,1
0.69,0.34,0.49,0
0.40,0.62,0.70,1
0.47,0.55,0.45,0
0.88,0.14,0.28,0
0.23,0.85,0.75,1
0.59,0.50,0.57,1
0.66,0.38,0.50,0
0.33,0.73,0.66,1
0.51,0.52,0.42,0
0.81,0.20,0.31,0
0.14,0.92,0.89,1
0.62,0.44,0.58,1
0.75,0.25,0.39,0
0.29,0.79,0.63,1
0.55,0.47,0.54,1
0.12,0.96,0.91,1
0.70,0.33,0.48,0
0.37,0.68,0.72,1
0.44,0.56,0.46,0
0.86,0.18,0.30,0
0.22,0.88,0.76,1
0.57,0.51,0.58,1
0.65,0.36,0.51,0
0.34,0.72,0.67,1
0.49,0.54,0.43,0
0.80,0.21,0.32,0
0.15,0.90,0.84,1
0.61,0.43,0.56,1
0.74,0.27,0.38,0
0.30,0.78,0.64,1
0.53,0.48,0.55,1
0.11,0.97,0.92,1
0.68,0.35,0.49,0
0.36,0.66,0.70,1
0.43,0.58,0.47,0
0.85,0.17,0.29,0
0.21,0.87,0.77,1
0.60,0.44,0.57,1
0.76,0.23,0.37,0
0.27,0.80,0.65,1
0.56,0.50,0.59,1
0.10,0.98,0.93,1
0.71,0.32,0.48,0
0.38,0.63,0.69,1
0.45,0.57,0.45,0
0.83,0.16,0.27,0
0.24,0.86,0.74,1
0.58,0.52,0.56,1
0.67,0.37,0.51,0
0.32,0.75,0.66,1
0.50,0.53,0.42,0
0.79,0.22,0.34,0
0.19,0.91,0.83,1
0.63,0.45,0.60,1
0.72,0.26,0.38,0
0.28,0.81,0.64,1
0.54,0.49,0.55,1
0.16,0.95,0.88,1
0.69,0.34,0.49,0
0.40,0.62,0.70,1
0.47,0.55,0.44,0
0.88,0.14,0.28,0
0.23,0.85,0.75,1
0.59,0.50,0.57,1
0.66,0.38,0.50,0
0.33,0.73,0.66,1
0.51,0.52,0.42,0
0.81,0.20,0.31,0
0.14,0.92,0.89,1
0.62,0.44,0.58,1
0.75,0.25,0.39,0
0.29,0.79,0.63,1
0.55,0.47,0.54,1
0.12,0.96,0.91,1
0.70,0.33,0.48,0
0.37,0.68,0.72,1
0.44,0.56,0.46,0
0.86,0.18,0.30,0
0.22,0.88,0.76,1
0.57,0.51,0.58,1
0.65,0.36,0.51,0
0.34,0.72,0.67,1
0.49,0.54,0.43,0
0.80,0.21,0.32,0
0.15,0.90,0.84,1
0.61,0.43,0.56,1
0.74,0.27,0.38,0
0.30,0.78,0.64,1
0.53,0.48,0.55,1
0.11,0.97,0.92,1
0.68,0.35,0.49,0
0.36,0.66,0.70,1
0.43,0.58,0.47,0
0.85,0.17,0.29,0
0.21,0.87,0.77,1
0.60,0.44,0.57,1
0.76,0.23,0.37,0
0.27,0.80,0.65,1
0.56,0.50,0.59,1
0.10,0.98,0.93,1
0.71,0.32,0.48,0
0.38,0.63,0.69,1
0.45,0.57,0.45,0
0.83,0.16,0.27,0
0.24,0.86,0.74,1
0.58,0.52,0.56,1
0.67,0.37,0.51,0
0.32,0.75,0.66,1
0.50,0.53,0.42,0
0.79,0.22,0.34,0
0.19,0.91,0.83,1
0.63,0.45,0.60,1
0.72,0.26,0.38,0
0.28,0.81,0.64,1
0.54,0.49,0.55,1
0.16,0.95,0.88,1
0.69,0.34,0.49,0
0.40,0.62,0.70,1
0.47,0.55,0.44,0
0.88,0.14,0.28,0
0.23,0.85,0.75,1
0.59,0.50,0.57,1
0.66,0.38,0.50,0
0.33,0.73,0.66,1
0.51,0.52,0.42,0
0.81,0.20,0.31,0
0.14,0.92,0.89,1
0.62,0.44,0.58,1
0.75,0.25,0.39,0
0.29,0.79,0.63,1
0.55,0.47,0.54,1
0.12,0.96,0.91,1
0.70,0.33,0.48,0
0.37,0.68,0.72,1
0.44,0.56,0.46,0
0.86,0.18,0.30,0
0.22,0.88,0.76,1
0.57,0.51,0.58,1
0.65,0.36,0.51,0
0.34,0.72,0.67,1
0.49,0.54,0.43,0
0.80,0.21,0.32,0
0.15,0.90,0.84,1
0.61,0.43,0.56,1
0.74,0.27,0.38,0
0.30,0.78,0.64,1
0.53,0.48,0.55,1
0.11,0.97,0.92,1
0.68,0.35,0.49,0
0.36,0.66,0.70,1
0.43,0.58,0.47,0
0.85,0.17,0.29,0
0.21,0.87,0.77,1
0.60,0.44,0.57,1
0.76,0.23,0.37,0
0.27,0.80,0.65,1
0.56,0.50,0.59,1
0.10,0.98,0.93,1
0.71,0.32,0.48,0
0.38,0.63,0.69,1
0.45,0.57,0.45,0
0.83,0.16,0.27,0
0.24,0.86,0.74,1
0.58,0.52,0.56,1
0.67,0.37,0.51,0
0.32,0.75,0.66,1
0.50,0.53,0.42,0
0.79,0.22,0.34,0
0.19,0.91,0.83,1
0.63,0.45,0.60,1
0.72,0.26,0.38,0
0.28,0.81,0.64,1
0.54,0.49,0.55,1
0.16,0.95,0.88,1
0.69,0.34,0.49,0
0.40,0.62,0.70,1
0.47,0.55,0.44,0
0.88,0.14,0.28,0
0.23,0.85,0.75,1
0.59,0.50,0.57,1
0.66,0.38,0.50,0
0.33,0.73,0.66,1
0.51,0.52,0.42,0
0.81,0.20,0.31,0
0.14,0.92,0.89,1
0.62,0.44,0.58,1
0.75,0.25,0.39,0
0.29,0.79,0.63,1
0.55,0.47,0.54,1
0.12,0.96,0.91,1
0.70,0.33,0.48,0
0.37,0.68,0.72,1
0.44,0.56,0.46,0
0.86,0.18,0.30,0
0.22,0.88,0.76,1
0.57,0.51,0.58,1
0.65,0.36,0.51,0
0.34,0.72,0.67,1
0.49,0.54,0.43,0
0.80,0.21,0.32,0
0.15,0.90,0.84,1
0.61,0.43,0.56,1
0.74,0.27,0.38,0
0.30,0.78,0.64,1
0.53,0.48,0.55,1
0.11,0.97,0.92,1
0.68,0.35,0.49,0
0.36,0.66,0.70,1
0.43,0.58,0.47,0
0.85,0.17,0.29,0
0.21,0.87,0.77,1
0.60,0.44,0.57,1
0.76,0.23,0.37,0
0.27,0.80,0.65,1
0.56,0.50,0.59,1
0.10,0.98,0.93,1
0.71,0.32,0.48,0
0.38,0.63,0.69,1
0.45,0.57,0.45,0
0.83,0.16,0.27,0
0.24,0.86,0.74,1
0.58,0.52,0.56,1
0.67,0.37,0.51,0
0.32,0.75,0.66,1
0.50,0.53,0.42,0
0.79,0.22,0.34,0
0.19,0.91,0.83,1
0.63,0.45,0.60,1
0.72,0.26,0.38,0
0.28,0.81,0.64,1
0.54,0.49,0.55,1
0.16,0.95,0.88,1
0.69,0.34,0.49,0
0.40,0.62,0.70,1
0.47,0.55,0.44,0
0.88,0.14,0.28,0
0.23,0.85,0.75,1
0.59,0.50,0.57,1
0.66,0.38,0.50,0
